,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source_device,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,name,jpg_url,img_num,retweet_count,favorite_count,rating,breed_prediction,prediction_confidence,dog_category
1,892177421306343426,,,2017-08-01 00:17:27+00:00,iphone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",nan,nan,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,5343,29607,1.3,Chihuahua,0.323581,none
2,891815181378084864,,,2017-07-31 00:18:03+00:00,iphone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,nan,nan,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,3514,22291,1.2,Chihuahua,0.716012,none
3,891689557279858688,,,2017-07-30 15:58:51+00:00,iphone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,nan,nan,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,7277,37272,1.3,Labrador_retriever,0.1680859999999999,none
4,891327558926688256,,,2017-07-29 16:00:24+00:00,iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",nan,nan,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,7819,35613,1.2,basset,0.555712,none
5,891087950875897856,,,2017-07-29 00:08:17+00:00,iphone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,nan,nan,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,None,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,2625,17975,1.3,Chesapeake_Bay_retriever,0.425595,none
6,890971913173991426,,,2017-07-28 16:27:12+00:00,iphone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",nan,nan,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,1685,10459,1.3,Appenzeller,0.341703,none
7,890729181411237888,,,2017-07-28 00:22:40+00:00,iphone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,nan,nan,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",None,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,15911,57331,1.3,Pomeranian,0.566142,none
8,890609185150312448,,,2017-07-27 16:25:51+00:00,iphone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,nan,nan,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,3656,24758,1.3,Irish_terrier,0.4875739999999999,none
9,890240255349198849,,,2017-07-26 15:59:51+00:00,iphone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,nan,nan,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,6153,28227,1.4,Pembroke,0.511319,doggo
10,890006608113172480,,,2017-07-26 00:31:25+00:00,iphone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,nan,nan,,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,6204,27277,1.3,Samoyed,0.957979,none
